,Retorno Medio,Volatilidad Mensual,RSI
2019-01-02 00:00:00,-2.4081563373584394,-2.017126502395423,-0.4821689206357741
2019-01-03 00:00:00,-2.3981228265353884,-2.114635836705603,-0.6020587761679355
2019-01-04 00:00:00,-2.4038587028542473,-2.090480922809298,-0.3881654359721329
2019-01-07 00:00:00,-2.377873428597196,-2.120752284297776,-0.45437088430026473
2019-01-08 00:00:00,-2.3446866119309666,-2.132600558681733,-0.38603187372661535
2019-01-09 00:00:00,-2.366028673076405,-2.174379771352789,-0.3610693769235726
2019-01-10 00:00:00,-2.399120788741009,-2.1294513627994975,-0.24000409594516114
2019-01-11 00:00:00,-2.37074028850173,-2.150422224738285,-0.31020171926665024
2019-01-14 00:00:00,-2.4273513605279087,-2.0909861850038802,-0.29298042781663874
2019-01-15 00:00:00,-2.362828587871362,-2.0118126993401066,-0.10940185855270008
2019-01-16 00:00:00,-2.43138111949801,-2.0363241911254137,0.10950327753043708
2019-01-17 00:00:00,-2.422948527941517,-2.0015713555010346,0.17792253969309585
2019-01-18 00:00:00,-2.4773791477182567,-1.9921272388735676,0.03906423807549285
2019-01-22 00:00:00,-2.4378662213760567,-2.0279326516384617,-0.00495746316022285
2019-01-23 00:00:00,-2.4532798303384933,-2.0067049559064403,-0.0016991347232671091
2019-01-24 00:00:00,-2.458143521521099,-2.1063907916098112,0.026308155924260637
2019-01-25 00:00:00,-2.4743206457107285,-2.1218917451578734,0.09850214131435284
2019-01-28 00:00:00,-2.4695567463950723,-2.135006659701871,0.11262133038255989
2019-01-29 00:00:00,-2.5014204638061512,-2.126903964013437,-0.20135571521484957
2019-01-30 00:00:00,-2.512962079451441,-2.1022285196807746,0.05178180073494936
2019-01-31 00:00:00,-2.4899835884044337,-2.0567859686394243,0.2348016575146905
2019-02-01 00:00:00,-2.436713500341011,-2.06164774215231,0.35830624743438805
2019-02-04 00:00:00,-2.4592860600501893,-2.0381306362513167,0.05867202003277975
2019-02-05 00:00:00,-2.4591167578431787,-2.0417708796195178,0.23587662808491983
2019-02-06 00:00:00,-2.4740885116114093,-2.061757230365259,0.008851299941834388
2019-02-07 00:00:00,-2.480969923875093,-2.0746764634553303,-0.1800281228068553
2019-02-08 00:00:00,-2.4582244296502607,-2.021907056351546,-0.15084918164198197
2019-02-11 00:00:00,-2.4955076212256153,-2.044976364766936,-0.21638164077260535
2019-02-12 00:00:00,-2.5377998563250994,-2.0553515221694085,-0.08036434858594729
2019-02-13 00:00:00,-2.5588152906339157,-2.073823558541554,-0.04131984846253907
2019-02-14 00:00:00,-2.3352146300193914,-2.0302682764087967,-0.061637860167117135
2019-02-15 00:00:00,-2.324642840595358,-2.075615469599967,-0.07072830128269443
2019-02-19 00:00:00,-2.3330257902729654,-2.1294694833942622,0.08188544639659397
2019-02-20 00:00:00,-2.3520252011999516,-2.1313193195458098,0.0047571556733631785
2019-02-21 00:00:00,-2.371255810549035,-2.1545319039986954,-0.03507519641876178
2019-02-22 00:00:00,-2.3570231807088597,-2.102945113744554,0.07985266412354845
2019-02-25 00:00:00,-2.3826473143417,-2.1447566628158685,0.1384971066962717
2019-02-26 00:00:00,-2.394748502760407,-2.1234046053323317,0.12771774144697304
2019-02-27 00:00:00,-2.379148897275922,-2.111920437686789,0.25903648297695037
2019-02-28 00:00:00,-2.340176406515067,-2.119799315772347,-0.10445452539088228
2019-03-01 00:00:00,-2.2915956353926776,-2.0951367769584457,0.004620165928183654
2019-03-04 00:00:00,-2.2781558813208025,-2.132762212986256,0.025345677040497505
2019-03-05 00:00:00,-2.2350605453570913,-2.108301713488661,-0.08856447368260098
2019-03-06 00:00:00,-2.272113126653032,-2.0667241380184684,-0.18472896705337366
2019-03-07 00:00:00,-2.280719030527657,-2.0461764206876176,-0.15950550035109967
2019-03-08 00:00:00,-2.3015481087801457,-2.0430375498511095,-0.22927840237941985
2019-03-11 00:00:00,-2.319230955804621,-2.0311298366658415,-0.20433996925388528
2019-03-12 00:00:00,-2.2659949063372644,-2.0288201782416335,-0.08592628269277718
2019-03-13 00:00:00,-2.2407077179691597,-2.025168750447953,-0.016210339824208626
2019-03-14 00:00:00,-2.2752580607872557,-2.0488915221638377,0.06270942759123914
2019-03-15 00:00:00,-2.2627885852827485,-2.012394165722178,0.11818285687003444
2019-03-18 00:00:00,-2.241294683905995,-2.016086591929765,0.1633563309322537
2019-03-19 00:00:00,-2.2189717189658027,-1.9674953578775396,0.1574931122798554
2019-03-20 00:00:00,-2.2151555723176366,-1.9492092832722578,0.1808057270646021
2019-03-21 00:00:00,-2.198759889161205,-1.924262936964751,0.1808985698761158
2019-03-22 00:00:00,-2.178138140742441,-1.9379748880677015,0.11963854604145976
2019-03-25 00:00:00,-2.155882225457792,-1.9177550501811162,0.11647269604633011
2019-03-26 00:00:00,-2.189032975656667,-1.9360642400532082,0.03633328309799322
2019-03-27 00:00:00,-2.197341830979432,-1.9396377794683028,-0.10035260791709774
2019-03-28 00:00:00,-2.1904540617574035,-1.9065270927133722,-0.2679928989644458
2019-03-29 00:00:00,-2.139120065120788,-1.8816503818076051,-0.2060305764388312
2019-04-01 00:00:00,-2.1742362973322464,-1.9175985261400497,-0.19733994369316132
2019-04-02 00:00:00,-2.161665503298771,-1.8866032001676871,-0.09608253618993906
2019-04-03 00:00:00,-2.173932848252346,-1.8995050172255996,-0.17002747279008135
2019-04-04 00:00:00,-2.2060103449481825,-1.9462486145446047,-0.22017121166186635
2019-04-05 00:00:00,-2.207241633077196,-1.966585078302281,-0.22003717905385384
