,fullTimeEmployees,auditRisk,overallRisk,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,averageVolume,marketCap,ebitdaMargins,earningsGrowth,returnOnEquity,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical,PCA1,PCA2
294,161000.0,3.0,3.0,2.01,0.372,1.68,1.115,18.08551,2484104.0,127848275968.0,0.15076,0.129,0.0,0,-1,0,25481258018.81253,-4516537.768709577
295,39000.0,7.0,8.0,0.0,0.0,0.0,1.21,19.628935,1845600.0,35353878528.0,0.27882,0.161,0.42417,0,-1,0,-67013139400.947655,-2478053.253834131
296,20000.0,2.0,1.0,7.68,1.2729,5.3,1.071,8.109176,2861052.0,22583001088.0,0.10245,0.0,0.105749995,0,-1,0,-79784016806.21315,-1092983.4505249118
297,21873.0,6.0,7.0,3.08,0.36540002,3.34,0.728,10.766584,1374685.0,28796751872.0,0.0,0.41,0.09245,0,-1,0,-73570266067.83318,-2759186.67164193
298,18300.0,5.0,8.0,2.53,0.33580002,3.33,1.376,14.127452,2839519.0,44891619328.0,0.06527,-0.704,0.18127,0,-1,0,-57475398576.17996,-1760161.321348927
299,891.0,1.0,1.0,1.4,0.4066,0.9,1.046,26.336575,643363.0,8170000896.0,0.50751996,-0.06,0.20448999,0,-1,0,-94197017056.36324,-2893528.666873037
300,418000.0,9.0,8.0,1.06,0.2893,1.29,1.586,22.359432,1701086.0,65266151424.0,0.64339995,-0.433,0.0,0,-1,0,-37100866521.59741,-3488456.001948927
301,90000.0,1.0,1.0,1.34,0.3729,1.41,0.943,25.704134,2050468.0,119474757632.0,0.29545,0.044,0.31785,0,-1,0,17107739673.758057,-4707797.207207724
302,9400.0,6.0,7.0,0.66,0.094399996,0.69,0.887,22.93666,546063.0,29145620480.0,0.31472,0.052,0.22822,0,-1,0,-73221397483.96294,-3597899.3922360353
303,18000.0,9.0,8.0,1.81,0.3085,1.57,1.249,15.536199,1687413.0,14556872704.0,0.19443001,-0.007,27.3125,0,-1,0,-87810145220.81897,-2034332.8696037407
304,35300.0,1.0,1.0,0.56,0.1901,0.52,1.102,33.004272,2720214.0,492878462976.0,0.61592996,0.223,1.90557,3,-1,2,390511444880.7432,-14844902.02019937
305,2500.0,2.0,7.0,2.48,0.0941,1.52,1.435,12.350806,4917326.0,7670639616.0,0.28309,-0.267,0.0,0,-1,0,-94696378212.45844,1394885.3521594224
306,14100.0,4.0,10.0,2.21,0.5897,1.76,0.711,26.108974,2200863.0,21843580928.0,0.18739,-0.03,0.14659001,0,-1,0,-80523436985.01135,-1731769.59146282
307,150000.0,8.0,5.0,2.31,0.59529996,2.25,0.706,24.352896,3377377.0,219403829248.0,0.53816,0.0,0.0,0,-1,0,117036811286.31807,-6273017.982805224
308,45000.0,9.0,2.0,0.43,0.122,0.68,0.512,18.148872,811339.0,83725287424.0,0.01832,0.572,0.0,0,-1,0,-18641730555.138885,-4912259.90384182
309,95000.0,7.0,6.0,3.2,0.8506,2.74,0.823,14.979487,7645298.0,112388980736.0,0.28344,0.019,0.08442,0,-1,0,10021962942.649963,1092103.022166436
310,73000.0,7.0,4.0,3.63,0.4629,2.93,0.363,9.492554,15760177.0,225398571008.0,0.45403,0.0,0.40789002,0,-1,0,123031553402.1733,5936320.453660158
